Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-492.05048	61.46893	-317.2197	-641.74994	79.0	-0.94209045	0.5170598	0.10320748	-2.4821773	10000	0.054409906	52587.926	-0.0027387522	-5626.4434	1.1150262	0.0014546561	11.315842390060425
1	-472.04218	63.75664	-317.3927	-607.50214	79.0	-15.220825	0.4409772	-10.714747	-15.380188	20000	0.028590906	43754.86	-0.0017635454	-2001.2607	1.1207843	0.000377243	20.073400259017944
2	-468.92825	61.012486	-232.81262	-629.5015	79.0	-20.862732	0.2787573	-17.01045	-20.938713	30000	0.036292613	41079.71	-0.0018946549	-1791.9883	1.1306025	0.0007102974	33.1492133140564
3	-469.9452	62.9015	-297.71527	-630.36914	79.0	-26.051626	0.56416315	-16.982582	-26.154066	40000	0.04681679	39210.125	-0.0018856023	-1681.1748	1.1123569	0.0006410057	42.893718957901
4	-476.75266	56.877136	-331.0773	-619.12286	79.0	-30.974894	1.4955301	-5.768081	-31.215508	50000	0.03505435	39658.98	-0.0009457688	-1738.6592	1.1026696	0.001121207	51.574071645736694
5	-464.13937	55.98716	-339.13583	-606.34235	79.0	-35.336536	4.2129526	2.497499	-36.353466	60000	0.03042993	34633.184	-0.0018989504	-1513.2563	1.1152841	0.0009380867	61.14882683753967
6	-463.81598	55.785255	-298.36075	-690.8273	79.0	-39.617283	6.03211	8.285485	-41.20258	70000	0.05308403	32828.99	-0.00064603495	-1430.4722	1.0968615	0.0003094496	70.10710191726685
7	-463.02817	65.40029	-328.75433	-641.87695	79.0	-44.109608	7.0011177	5.9035087	-45.943333	80000	0.07235661	31997.453	-0.00092204474	-1376.6357	1.0847013	-1.3024066e-05	78.88656377792358
8	-458.51846	57.665714	-340.485	-658.0459	79.0	-48.252514	8.45167	15.936514	-50.63415	90000	0.05171691	29293.074	-0.0009917931	-1278.1812	1.0657489	0.0011355918	88.46686244010925
9	-453.67874	59.145054	-328.76294	-583.56433	79.0	-52.24752	9.893299	8.13682	-55.20026	100000	0.046727747	27599.377	-0.0010360216	-1216.5781	1.073559	0.00074106734	97.38979291915894
10	-455.11435	53.775307	-349.11227	-588.9772	79.0	-56.328705	10.857267	28.802809	-59.69008	110000	0.061176173	26200.521	-0.0009001998	-1158.2373	1.0516201	0.0005721153	105.85742974281311
11	-435.42703	57.604076	-289.9896	-610.20746	79.0	-59.8346	12.568059	13.012506	-64.111305	120000	0.07883152	23016.348	-0.00081730867	-1021.21533	1.0287819	5.3644835e-05	114.46941256523132
12	-436.25693	61.643635	-293.40002	-572.95056	79.0	-63.32231	13.968191	9.712935	-68.30871	130000	0.072027914	22373.488	-0.0004297176	-1002.8081	1.0191898	6.706762e-05	125.97188687324524
13	-435.6305	61.0072	-300.75003	-565.3645	79.0	-66.48554	15.951815	5.0806704	-72.49004	140000	0.06403709	21294.912	-0.00074714236	-962.3496	1.0087072	0.00030000505	136.07578134536743
14	-436.32068	59.88827	-296.16492	-586.34546	79.0	-70.32382	16.664843	17.276695	-76.62355	150000	0.06552829	20156.344	-0.000509843	-931.1836	1.0223092	0.00026019002	146.0816969871521
15	-438.40298	57.29506	-300.19745	-586.3662	79.0	-73.84923	17.539288	7.964729	-80.741135	160000	0.07150765	19438.75	-0.0003909843	-908.5239	1.0002023	-8.68053e-05	155.51950001716614
16	-428.7315	58.92737	-300.6826	-639.78033	79.0	-76.879295	19.634306	11.957268	-84.84294	170000	0.04467629	17452.482	-0.0005299975	-816.0371	0.99074143	0.00014120701	164.7564959526062
17	-431.02145	63.91986	-300.1492	-582.5811	79.0	-79.50585	21.023071	8.295109	-88.756256	180000	0.06311593	16791.85	-0.00048165396	-785.7095	0.963157	-6.4154156e-06	173.9919409751892
18	-432.98053	63.147392	-249.2089	-621.2363	79.0	-83.159836	21.932537	15.080505	-92.62611	190000	0.064503625	16539.832	-0.000427139	-795.3804	0.9847033	0.0001375481	182.35277891159058
19	-426.77084	62.34139	-249.3966	-657.1024	79.0	-86.282394	23.239676	16.731565	-96.55748	200000	0.061539017	15259.349	-0.00078782486	-741.28613	0.97733414	0.00030482892	190.90552926063538
20	-422.99063	63.81705	-277.1179	-594.99713	79.0	-89.9102	23.848804	9.646224	-100.40183	210000	0.06554427	13959.0	-0.00079380133	-682.38086	0.94419414	0.0001910603	199.7737557888031
21	-424.2188	58.66276	-242.86502	-634.3914	79.0	-91.578156	26.52958	12.733502	-104.090935	220000	0.0748696	13243.496	-0.0007685502	-674.6316	0.93327737	0.00022794842	210.2118227481842
22	-430.27344	64.6745	-306.28714	-617.8049	79.0	-94.922646	27.058138	22.139267	-107.756676	230000	0.06467796	13884.99	-0.00052412937	-705.8237	0.9221196	-5.7059224e-05	218.95446252822876
23	-414.01447	63.240204	-275.89523	-647.5311	79.0	-97.5541	28.600018	8.712705	-111.565674	240000	0.079085864	11351.658	-0.00020808494	-584.08057	0.91926724	-0.00013209548	227.40293622016907
24	-409.609	58.491337	-258.24304	-587.61694	79.0	-98.29798	31.675306	24.305023	-115.03465	250000	0.047846068	10775.346	-0.00033934298	-570.3152	0.9029666	0.00017309184	235.57546281814575
25	-424.85162	59.323944	-241.55623	-561.5796	79.0	-101.332085	32.67904	12.441957	-118.474464	260000	0.059980616	11317.336	-0.0003215978	-604.1123	0.918535	0.00016009505	243.96092629432678
26	-422.49664	60.339905	-287.42236	-551.2242	79.0	-105.004326	32.61145	18.361338	-122.08034	270000	0.071598396	10905.213	-0.00041168346	-594.9971	0.89839333	0.00020444806	252.45698428153992
