Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-553.40625	83.19244	-316.5435	-720.4515	79.0	-0.29452494	0.35230002	0.92547363	-1.4391298	10000	2.7939677e-08	66347.5	-0.01005174	-5926.5366	1.0979071	0.017186413	0.14565827	17.0	5.215808629989624
1	-533.3434	74.18511	-355.06354	-707.0811	79.0	-13.668033	0.37093896	-9.638688	-13.847296	20000	3.8184226e-08	54229.824	-0.005106643	-2225.1106	1.1918772	0.017028918	0.1792717	8.0	8.78877329826355
2	-497.16364	77.088264	-326.0135	-678.99194	79.0	-19.363176	0.15863647	-16.707466	-19.42084	30000	2.6077032e-08	45683.0	-0.016170844	-1828.293	1.2490109	0.015090135	0.17436974	76.0	13.581670045852661
3	-472.86658	71.905106	-260.9764	-674.33026	79.0	-24.427666	0.14165382	-21.300386	-24.469412	40000	-7.326404e-08	38581.574	-0.0075303637	-1548.7787	1.2670847	0.015404866	0.18997599	12.0	17.67595648765564
4	-480.1983	74.95822	-318.6147	-649.12396	79.0	-29.130264	0.1834703	-25.887024	-29.177448	50000	-3.9115548e-08	38325.703	-0.01839527	-1540.1381	1.2861295	0.011406402	0.14905961	79.0	22.899522066116333
5	-463.85397	77.37224	-271.49075	-663.9104	79.0	-33.783882	0.60042465	-22.477974	-33.910885	60000	2.2351742e-08	35029.645	-0.01999593	-1458.7975	1.2724209	0.013479958	0.1642657	79.0	28.620764017105103
6	-453.66403	76.83389	-275.4172	-687.64453	79.0	-37.86737	2.9844556	-2.9895983	-38.56291	70000	4.5945246e-08	31740.072	-0.022000447	-1333.1722	1.2459042	0.01471069	0.14745899	79.0	33.05378222465515
7	-430.87408	75.725044	-200.29295	-630.5996	79.0	-41.518105	6.160223	9.724395	-43.060795	80000	1.8502276e-07	27105.88	-0.019888686	-1142.541	1.2434582	0.0074169696	0.115246095	79.0	37.10059189796448
8	-420.75412	80.35568	-218.27618	-641.86115	79.0	-45.33291	7.4852715	13.731439	-47.308727	90000	1.899898e-07	24783.49	-0.022322876	-1052.0306	1.2116753	0.012437982	0.15816326	79.0	41.11764216423035
9	-417.66614	76.15537	-158.22144	-579.1849	79.0	-48.62307	9.699066	14.857806	-51.437325	100000	1.2417634e-08	23238.275	-0.02211786	-1004.2624	1.1788267	0.012644783	0.16086435	79.0	45.89909839630127
10	-405.1489	77.359116	-234.58888	-616.94727	79.0	-52.458546	10.200603	17.839363	-55.523903	110000	6.146729e-08	21002.924	-0.023183165	-920.7793	1.1443056	0.012078494	0.1657663	79.0	49.71410632133484
11	-393.1867	77.1703	-182.14046	-635.6228	79.0	-56.105415	11.175105	14.084997	-59.49871	120000	1.17967524e-07	19305.146	-0.023214614	-848.0159	1.1100954	0.014757519	0.16806722	79.0	54.07896161079407
12	-368.94885	65.62896	-216.74385	-562.4497	79.0	-59.02859	12.842251	30.053047	-63.35747	130000	3.973643e-08	14633.456	-0.021575356	-669.6465	1.0473725	0.009731277	0.12304922	79.0	59.57110285758972
13	-353.24857	71.64208	-132.98207	-605.66266	79.0	-61.87665	14.333722	15.879281	-66.8528	140000	3.1044085e-08	12691.464	-0.021269219	-554.9429	1.0107175	0.008415767	0.11554622	79.0	64.94277811050415
14	-354.46576	74.324	-178.44601	-515.7635	79.0	-64.18773	15.513194	18.449867	-70.062515	150000	-4.346172e-08	12572.573	-0.020970844	-584.7031	0.9752739	0.008402524	0.12685074	79.0	69.2696578502655
15	-336.4919	72.05943	-155.22238	-515.3231	79.0	-66.782974	16.517672	11.36393	-73.36288	160000	1.8626451e-09	10269.224	-0.02126353	-483.37695	0.93800044	0.0102252895	0.12765107	79.0	73.85166764259338
16	-326.55972	66.76604	-176.40604	-492.6868	79.0	-69.729546	17.242277	24.73691	-76.41517	170000	4.035731e-08	8813.68	-0.020229107	-423.475	0.9107931	0.010240763	0.109643854	79.0	78.99621105194092
17	-313.99585	70.61833	-157.88663	-489.8122	79.0	-72.32823	17.730453	28.594208	-79.32105	180000	7.698933e-08	7981.16	-0.018616859	-385.6036	0.8846812	0.010074377	0.10024009	79.0	83.49452328681946
18	-303.78918	60.788017	-163.75839	-465.43213	79.0	-74.15644	19.297943	32.932587	-82.11145	190000	-4.40826e-08	6503.479	-0.019488664	-321.19003	0.85828716	0.010527371	0.098239295	79.0	87.50810837745667
19	-300.07446	67.11264	-160.90959	-581.4541	79.0	-75.32593	20.417376	4.1984086	-84.66109	200000	-6.953875e-08	6206.733	-0.021492163	-295.37717	0.8216297	0.0119732665	0.12174869	79.0	92.26350665092468
20	-300.18686	68.44013	-171.13864	-512.29504	79.0	-77.45538	21.15342	14.088544	-87.13403	210000	-3.973643e-08	5731.8184	-0.021442482	-287.5808	0.81532925	0.010605165	0.11484593	79.0	97.36848306655884
21	-281.07156	65.07497	-163.08345	-479.61328	79.0	-79.11126	22.704042	12.199466	-89.57426	220000	-8.692344e-09	4455.359	-0.018811371	-223.24736	0.7594082	0.0066953637	0.083533406	79.0	102.5286180973053
22	-275.61734	62.53916	-153.8832	-485.95795	79.0	-79.78783	23.84843	13.467119	-91.692085	230000	-4.9670536e-08	3963.343	-0.01917751	-215.78174	0.7248543	0.008185052	0.090536214	79.0	108.27794098854065
23	-276.23605	66.650795	-125.11325	-474.5648	79.0	-81.681175	23.80691	7.4814453	-93.7522	240000	6.208817e-08	3886.4841	-0.019670844	-198.5127	0.68075854	0.012005811	0.101840734	79.0	113.11368727684021
24	-261.69965	61.963142	-141.27902	-453.57846	79.0	-83.37522	24.43451	9.0408745	-95.752815	250000	9.4684465e-09	2959.7532	-0.019977225	-178.81091	0.6820533	0.00995484	0.099039614	79.0	117.15527939796448
25	-262.97562	60.69278	-156.26907	-419.17603	79.0	-83.48043	24.670938	7.913707	-97.51197	260000	-4.967054e-09	3135.9414	-0.019577023	-203.7183	0.6366941	0.011257723	0.105242096	79.0	121.43033146858215
26	-244.14005	57.397713	-118.28716	-427.24945	79.0	-85.07052	26.06989	10.030859	-99.26748	270000	1.4901161e-08	2226.7507	-0.020036194	-210.3824	0.62923896	0.009504516	0.0932373	79.0	125.18312501907349
27	-251.84393	68.82863	-123.92195	-467.7002	79.0	-83.64577	26.955029	11.973706	-100.6495	280000	-7.450581e-09	2671.0305	-0.018738942	-174.93158	0.6270309	0.009700089	0.09943977	79.0	128.9473476409912
28	-245.73352	64.07442	-113.488144	-383.32147	79.0	-85.851364	27.117224	10.345402	-102.14749	290000	-7.450581e-09	2228.1956	-0.019239152	-137.90108	0.60800904	0.011861543	0.09663865	79.0	132.834969997406
29	-254.0137	68.92584	-122.33173	-438.9439	79.0	-85.04448	28.308693	12.302462	-103.533356	300000	-3.4769375e-08	2618.2488	-0.018219382	-165.86078	0.60232836	0.009275551	0.08453381	79.0	137.4027271270752
30	-236.29547	61.558117	-145.46408	-399.4038	79.0	-87.6109	28.010788	9.263403	-105.16491	310000	-1.7074248e-09	1795.5923	-0.019302301	-153.75385	0.58488244	0.009989072	0.10304121	79.0	141.82683205604553
31	-226.16496	71.67146	-118.59145	-408.5534	79.0	-83.73692	29.640692	12.939327	-106.359955	320000	-2.9802322e-08	1851.6641	-0.018940514	-146.33237	0.531385	0.010431324	0.094737895	79.0	146.2869312763214
32	-223.30109	62.95885	-128.5853	-439.06192	79.0	-83.91365	30.460588	14.994934	-107.40435	330000	-1.4901161e-08	1689.6432	-0.017882353	-165.8708	0.5192158	0.012069888	0.10364145	79.0	150.37113213539124
33	-217.83331	57.934757	-112.22095	-403.2879	79.0	-84.89508	29.572966	8.606704	-108.3376	340000	-1.1175871e-08	1303.4323	-0.017570125	-109.28121	0.50178033	0.010484591	0.08453381	79.0	154.96897149085999
34	-212.09251	52.355396	-108.46582	-401.11545	79.0	-84.2001	30.138895	7.3694887	-109.172035	350000	9.934108e-09	1107.1093	-0.018773416	-92.437775	0.49663273	0.012766144	0.10064026	79.0	159.61145424842834
35	-204.21605	53.307175	-112.695595	-364.34686	79.0	-82.583824	30.843147	15.2755375	-109.912605	360000	-2.2351742e-08	1067.1344	-0.016427958	-135.74303	0.48858032	0.0076081674	0.07653061	79.0	165.42707014083862
36	-205.88283	55.670067	-118.299446	-554.9616	79.0	-82.128914	30.882505	6.529142	-110.45451	370000	-3.4769375e-08	1113.7352	-0.0183781	-131.59346	0.5134458	0.011122129	0.099239685	79.0	169.45045924186707
37	-203.3965	58.704952	-99.55724	-430.52585	79.0	-81.8702	31.533335	10.521355	-111.079506	380000	1.6142925e-08	1098.4774	-0.019318813	-133.7436	0.4692258	0.012789786	0.09943978	79.0	173.611487865448
38	-196.17876	49.028233	-103.371254	-334.0702	79.0	-79.24763	32.497604	4.069343	-111.682335	390000	-2.483527e-09	825.389	-0.018454531	-152.15593	0.456802	0.009020838	0.077831134	79.0	178.32522988319397
39	-192.87627	56.628433	-98.03216	-395.57687	79.0	-77.27521	33.337322	10.270591	-112.09462	400000	1.4901161e-08	1044.8353	-0.018469857	-207.67436	0.44646063	0.008553729	0.09083634	79.0	182.46072363853455
40	-185.48515	47.640858	-105.97996	-355.22183	79.0	-77.05048	33.3249	4.9709635	-112.51082	410000	-9.934108e-09	723.30963	-0.018253786	-159.76689	0.43296182	0.0100421915	0.087535016	79.0	186.4790394306183
41	-187.7426	55.74223	-109.992226	-373.08713	79.0	-77.64395	33.476868	1.3552208	-112.87993	420000	-3.7252903e-09	972.29156	-0.019843465	-183.97815	0.46151653	0.009262018	0.09103642	79.0	191.09168982505798
42	-188.64996	50.32356	-104.69818	-317.82343	79.0	-73.88058	33.375378	7.419208	-113.27477	430000	-2.483527e-09	746.8488	-0.018066563	-112.822	0.44732162	0.0068479194	0.088335335	79.0	196.5156605243683
43	-184.08994	52.77189	-99.99256	-344.2982	79.0	-75.564285	32.936417	5.3270006	-113.67324	440000	-9.934108e-09	832.6433	-0.016444625	-127.76377	0.4132105	0.009248582	0.088135265	79.0	201.33025074005127
44	-175.67451	46.26667	-103.8767	-340.07275	79.0	-75.470634	33.373314	8.435355	-114.021065	450000	7.450581e-09	668.5581	-0.015952852	-118.249756	0.39957675	0.007756101	0.07613045	79.0	207.1524715423584
45	-174.80927	45.07642	-98.488304	-337.03702	79.0	-72.94533	32.932354	3.7225444	-114.25655	460000	-1.9868216e-08	703.5103	-0.01584111	-153.56128	0.41934085	0.0064772666	0.075730294	79.0	211.13667178153992
46	-184.65001	50.017483	-105.27166	-369.02148	79.0	-73.44813	32.911583	26.098026	-114.45675	470000	-1.6142925e-08	778.91766	-0.017422743	-130.99294	0.43440184	0.008993735	0.08683473	79.0	216.40407538414001
47	-175.40184	49.02907	-87.33022	-328.64893	79.0	-74.623764	33.971386	5.7161694	-114.75814	480000	4.967054e-09	765.2823	-0.016102923	-161.12572	0.39776054	0.007482965	0.07753102	79.0	220.12477469444275
48	-161.4649	44.42536	-93.042984	-329.47528	79.0	-71.27538	34.209652	2.7844558	-115.034515	490000	8.692344e-09	598.467	-0.016335	-147.97765	0.3886472	0.010638613	0.07753102	79.0	224.1880819797516
49	-169.29129	45.75105	-90.27151	-325.51962	79.0	-68.22622	32.365093	5.2927017	-115.160324	500000	1.1796753e-08	687.20233	-0.017034194	-149.12163	0.39401868	0.009202463	0.08233293	79.0	227.9494776725769
50	-163.96873	43.646915	-98.66023	-327.47794	79.0	-69.732506	34.350117	4.3317194	-115.31612	510000	0.0	578.96466	-0.017474374	-122.87881	0.38628116	0.0077939867	0.0832333	79.0	231.78208470344543
51	-173.77747	44.651894	-97.52645	-299.8075	79.0	-66.36228	33.005848	7.5945916	-115.37431	520000	-9.934108e-09	647.4135	-0.016861854	-127.747284	0.37812462	0.0083899805	0.082633056	79.0	236.33741998672485
52	-161.2565	40.38074	-96.89699	-326.272	79.0	-69.501015	34.88237	5.699579	-115.63039	530000	2.483527e-09	589.13696	-0.01589919	-109.71482	0.34123978	0.009283906	0.081932776	79.0	241.1780333518982
53	-155.73108	37.96569	-93.73376	-312.09875	79.0	-66.771255	34.021362	7.5310245	-115.59588	540000	1.2417634e-08	510.71118	-0.015942926	-128.05043	0.3708407	0.008002059	0.07713085	79.0	245.77171325683594
54	-155.22728	40.679523	-85.407936	-271.55917	79.0	-64.250336	32.6201	6.3206882	-115.67654	550000	-2.483527e-09	510.99576	-0.015636329	-107.09933	0.36526155	0.009859425	0.07432973	79.0	249.99718403816223
55	-157.10805	48.877247	-78.00655	-332.86395	79.0	-63.46374	32.58938	6.343469	-115.81629	560000	0.0	668.2263	-0.016221546	-118.81753	0.3555895	0.0051071416	0.0752301	79.0	254.88181328773499
56	-157.00046	36.850365	-95.04371	-281.67477	79.0	-64.0583	33.15475	9.751522	-115.89942	570000	-4.967054e-09	493.94394	-0.017079866	-113.25692	0.36382946	0.012167808	0.09233693	79.0	259.26245951652527
57	-150.38098	37.20888	-86.91235	-256.8477	79.0	-65.053925	32.26795	6.7093916	-115.94497	580000	1.4901161e-08	445.99747	-0.018378744	-84.37581	0.3645107	0.010531329	0.08873549	79.0	263.8394339084625
58	-160.03023	42.44062	-84.76117	-317.71704	79.0	-63.79722	31.91377	19.528648	-115.92284	590000	9.934108e-09	618.3737	-0.01588943	-124.227295	0.36197785	0.006260351	0.08583433	79.0	267.7510344982147
59	-152.89633	39.976707	-89.72935	-273.8315	79.0	-66.105	33.614468	3.8101115	-115.9895	600000	0.0	533.63617	-0.015874421	-116.60769	0.325855	0.0089602005	0.07032813	79.0	271.62971234321594
60	-145.31728	37.53801	-89.75283	-271.93164	79.0	-64.99082	33.22249	16.619898	-115.96113	610000	-1.4901161e-08	490.03476	-0.016420724	-109.231476	0.3325982	0.0075955107	0.078531414	79.0	276.141149520874
61	-147.2018	33.564754	-88.66399	-241.00873	79.0	-61.07702	31.386066	6.141814	-115.91069	620000	1.9868216e-08	342.6232	-0.017991798	-58.052013	0.34139332	0.01210631	0.09283713	79.0	280.6160740852356
62	-150.45097	36.326996	-93.510086	-280.28833	79.0	-60.140617	31.502865	6.970761	-115.60834	630000	-2.483527e-09	466.69934	-0.015250702	-114.09261	0.33409667	0.010975588	0.07863145	79.0	285.47989296913147
63	-146.73161	34.32952	-91.5451	-268.9134	79.0	-63.11233	32.268852	3.7947898	-115.7298	640000	-2.483527e-09	437.41324	-0.017074132	-108.65432	0.34165743	0.0075123254	0.07933173	79.0	289.35403299331665
