Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-459.41666	60.736923	-303.89212	-593.75183	79.0	-0.04039043	0.5867342	1.2079194	-1.3868979	10000	-0.0077594277	45035.07	-0.0024021144	-5288.4424	1.2715282	0.0017968549	9.399077415466309
1	-466.45544	72.95177	-307.00323	-693.47894	79.0	-14.55618	0.3452534	-9.00534	-14.702145	20000	-0.002763573	40700.145	-0.0010766545	-2015.7773	1.2766876	0.00016454712	17.57157254219055
2	-460.03336	70.314705	-286.4618	-662.4139	79.0	-20.491943	0.16516884	-16.455944	-20.5537	30000	-0.008093018	38608.29	-0.0007743265	-1789.8394	1.2714658	0.0003841974	26.010603189468384
3	-461.8327	60.912407	-271.19147	-629.6996	79.0	-25.90801	0.22722477	-18.69242	-25.959425	40000	-0.008607255	36475.844	-0.0009309366	-1664.6133	1.2789673	0.00030634063	34.62728524208069
4	-463.1984	73.119965	-296.70197	-645.1439	79.0	-30.88987	1.2584925	-11.887284	-31.15323	50000	-0.01895931	34789.035	-0.00063548074	-1579.564	1.2736812	-2.4757523e-05	43.404661893844604
5	-451.2581	54.687588	-284.022	-586.83765	79.0	-35.120857	4.3314795	-1.6052113	-36.210255	60000	-0.014347791	30372.82	-0.000116691575	-1365.0791	1.2671862	-0.00017590974	52.05130100250244
6	-460.78183	60.042515	-331.12582	-620.8532	79.0	-39.37831	6.0057178	4.4303036	-40.968445	70000	-0.008229573	31344.24	-0.0005478881	-1418.3042	1.2782011	0.00013565853	60.465463399887085
7	-448.39316	54.939922	-289.68887	-591.2235	79.0	-43.936073	7.0395455	8.0812025	-45.831905	80000	-0.02411573	27891.492	-0.0007134513	-1279.2383	1.2679633	-0.0002703853	68.67046213150024
8	-451.43713	71.26569	-295.12695	-660.73804	79.0	-48.12411	8.437094	8.679174	-50.50939	90000	-0.020143203	27652.605	-0.0001735657	-1264.1548	1.27013	-0.000101188794	76.78600835800171
9	-442.13107	67.360435	-307.09863	-631.9395	79.0	-52.432182	9.44295	15.005739	-55.17949	100000	-0.0179728	24737.072	-0.00044213125	-1120.4058	1.2736518	0.00017212998	85.01909899711609
10	-454.95474	70.62812	-248.66228	-609.09503	79.0	-55.96067	11.270553	24.655499	-59.628445	110000	-0.018395066	25719.076	-0.00066404766	-1183.6318	1.2668135	6.115736e-05	93.15756583213806
11	-456.55368	58.46085	-283.99152	-601.6593	79.0	-60.1506	12.278374	16.688292	-64.21952	120000	-0.0197063	23643.898	-0.00040914305	-1100.27	1.2639742	0.0001677357	102.05374383926392
12	-451.6864	66.77598	-289.12674	-623.9275	79.0	-63.871063	13.6338415	12.795541	-68.69851	130000	-0.015647875	23337.605	-0.0006362656	-1080.478	1.2668543	0.00016437226	112.17043852806091
13	-452.43246	59.053818	-262.08627	-690.47986	79.0	-67.52969	15.448985	12.526657	-73.156555	140000	-0.015870335	21669.76	-0.00080753537	-1008.09717	1.2497	0.00013628438	122.5803279876709
14	-449.5993	63.938446	-252.36098	-635.9775	79.0	-70.92563	16.924267	5.713559	-77.493004	150000	-0.02979545	20621.97	-0.00045384956	-961.1616	1.2541414	2.1187167e-05	132.80006909370422
15	-449.44098	59.61014	-298.7442	-569.0355	79.0	-74.45354	18.340616	15.163329	-81.77063	160000	-0.026349274	19186.066	-0.00030224863	-900.978	1.2485856	-3.8295984e-06	143.4347608089447
16	-439.78156	59.12875	-288.81668	-591.6138	79.0	-77.90233	19.658087	13.779626	-85.95428	170000	-0.017403772	17192.727	-0.00041062466	-805.73755	1.2462581	1.1643286e-05	152.9584505558014
17	-448.83688	69.79062	-254.98677	-606.99756	79.0	-80.94081	21.205091	22.762331	-89.95055	180000	-0.022357652	17929.232	-0.00041534315	-842.5669	1.2421651	0.00011456765	161.96272611618042
18	-443.2466	62.069195	-301.67755	-612.9532	79.0	-84.16809	22.400625	10.180967	-94.06119	190000	-0.03549896	16274.257	-0.0007360459	-779.2888	1.2326866	0.0005139563	170.03392434120178
19	-438.81635	67.80661	-247.28793	-609.0995	79.0	-87.42601	23.612728	19.618832	-98.04387	200000	-0.026412506	15411.04	-0.0007607995	-754.7678	1.2313209	0.00019708711	178.18715286254883
20	-448.62183	67.20385	-289.96155	-622.86646	79.0	-90.43633	25.033306	11.537496	-101.97717	210000	-0.030743321	15662.272	-0.0010729029	-772.9531	1.2239814	0.00011393416	186.75166249275208
21	-444.66354	62.695526	-208.12067	-593.0514	79.0	-93.36092	26.822834	9.995749	-105.97629	220000	-0.021549515	14698.119	-0.0007033972	-727.2976	1.2254667	0.00032444904	194.90785336494446
22	-448.59238	66.01403	-290.85443	-608.1204	79.0	-96.0882	27.84013	22.141998	-109.91336	230000	-0.030746434	14184.666	-0.00057570194	-719.32153	1.2088335	4.50854e-06	203.36801314353943
23	-438.5539	59.138878	-313.7984	-602.6409	79.0	-99.69785	29.220406	8.500023	-113.83164	240000	-0.018518504	12326.708	-0.0004962578	-625.5469	1.2181058	0.0001487103	211.72348618507385
24	-434.1841	61.136078	-315.05	-591.68835	79.0	-101.31181	31.36116	25.357462	-117.53349	250000	-0.027960557	11496.442	-0.0005651051	-590.1421	1.202564	-1.762694e-05	220.25709176063538
25	-424.03967	60.487003	-251.32407	-597.7281	79.0	-103.46607	32.84768	8.816244	-121.143135	260000	-0.022187948	10295.732	-0.0004490947	-529.84204	1.1960297	-0.00019188075	228.9848415851593
26	-431.23962	57.673355	-273.2746	-579.6657	79.0	-106.0551	33.700768	12.3829975	-124.58703	270000	-0.015467655	10364.391	-0.0005344143	-536.41797	1.1921853	0.0002858994	237.2814862728119
27	-422.1827	58.68123	-234.03546	-575.7865	79.0	-108.331474	35.73714	15.31314	-128.05728	280000	-0.038806308	9414.473	-0.0009058034	-531.65283	1.178607	4.6361652e-05	245.45923900604248
28	-424.70883	64.61844	-270.29706	-592.1935	79.0	-109.836174	37.266148	13.120844	-131.44116	290000	-0.038418792	8922.722	-0.00046577863	-510.41968	1.1831445	0.0005151504	253.7405481338501
29	-432.2109	54.656727	-304.98447	-622.7927	79.0	-113.77505	37.705296	36.4792	-134.70148	300000	-0.031940985	8982.895	-0.0006658432	-522.04297	1.1771364	-0.0002653245	262.0045657157898
30	-427.70923	68.43128	-246.33289	-778.4688	79.0	-115.489624	39.059734	16.590494	-138.14551	310000	-0.021255359	8992.839	-0.00031437376	-533.78174	1.159498	0.0005158884	270.1001400947571
31	-423.58463	63.96292	-289.73798	-616.87085	79.0	-117.29171	40.65279	10.173467	-141.53583	320000	-0.050689984	7819.3604	-0.0005001789	-486.21875	1.1639955	-8.956717e-05	278.31383085250854
32	-417.81522	67.019485	-284.9031	-619.4872	79.0	-118.6431	42.50704	12.392101	-144.76305	330000	-0.03785915	7227.7046	-0.0005443399	-433.04407	1.1558201	0.000654641	286.658837556839
33	-420.74277	62.978024	-236.3665	-611.0892	79.0	-120.30581	43.918446	11.406626	-147.8389	340000	-0.031225309	6912.005	-0.0006962611	-444.7516	1.1307819	-0.00013243765	294.92224860191345
34	-419.71564	59.78744	-255.89339	-633.9736	79.0	-122.2986	44.709724	10.191508	-150.92949	350000	-0.028278556	6709.9736	-0.0002134908	-456.59705	1.1281974	0.000407669	302.9792625904083
35	-412.4272	63.71888	-234.73953	-601.3836	79.0	-125.10276	45.96193	8.390064	-154.083	360000	-0.03429125	5920.6045	-0.0004241579	-410.64404	1.1292727	0.00040350266	311.47403359413147
36	-425.46252	60.007336	-256.36865	-645.34503	79.0	-125.35442	47.499878	21.220112	-156.96643	370000	-0.03836413	6359.9443	-0.00022280798	-428.13806	1.1014304	0.00011801249	319.2876284122467
37	-424.40512	58.883385	-306.87195	-696.9439	79.0	-128.05577	48.600998	25.572792	-160.10075	380000	-0.041210964	5986.8926	-0.0006215451	-417.14294	1.0869005	-0.0001253103	327.1207175254822
38	-424.5861	65.719215	-252.85619	-589.923	79.0	-131.2649	48.310635	10.656362	-163.21172	390000	-0.03205785	5831.077	-0.00035560457	-390.5404	1.0941266	0.00036972735	334.7767434120178
39	-420.92264	67.50368	-268.45468	-615.60846	79.0	-131.57246	49.96376	10.76321	-166.29138	400000	-0.023967557	5462.033	-0.0004528379	-391.02277	1.090832	0.00039635738	343.2497396469116
40	-428.5567	71.268814	-266.07596	-706.0435	79.0	-134.15404	51.08125	74.042816	-169.26372	410000	-0.033167243	5756.829	-0.0005740812	-449.46558	1.075914	0.00047556995	351.53568840026855
41	-416.66583	55.19618	-271.29312	-559.92303	79.0	-135.27702	53.58872	13.293573	-172.35268	420000	-0.021997858	4614.044	-0.0006550886	-391.45563	1.058036	0.00017249587	359.73264932632446
42	-412.57272	62.39997	-246.9925	-651.5195	79.0	-135.2493	54.135788	6.0477734	-175.19482	430000	-0.014144817	4256.219	-0.00035130745	-331.71002	1.0554152	0.000284446	367.63976788520813
43	-400.45822	60.076324	-262.56055	-542.8441	79.0	-137.3136	55.3155	7.9260893	-177.85767	440000	-0.031922817	3765.6812	-0.0008261069	-401.0501	1.0454284	0.00028994307	378.2779426574707
44	-410.69028	66.484184	-269.39084	-627.7921	79.0	-136.68726	56.12489	21.323494	-180.2886	450000	-0.030308839	4154.7676	-0.0004543038	-438.30487	1.0309093	0.00022978897	390.26084661483765
45	-411.19183	66.94442	-267.87823	-633.54016	79.0	-139.43365	57.25626	9.183001	-182.8809	460000	-0.03142735	4006.955	-0.00046514347	-428.11664	1.0279229	0.00034812483	400.9202938079834
46	-414.57486	70.83161	-208.52469	-639.1527	79.0	-141.13824	57.35459	10.456409	-185.48257	470000	-0.033126816	4138.382	-0.00039705145	-402.4759	1.0176255	0.00020371759	411.41253113746643
47	-404.9069	54.63277	-198.83148	-539.0846	79.0	-142.66914	59.14128	7.1731634	-188.12157	480000	-0.031317227	3044.3862	-0.0005270955	-348.66278	1.020663	0.00045797293	421.99537420272827
48	-411.78217	63.586304	-277.87582	-589.05634	79.0	-142.59807	59.888	1.9465091	-190.50407	490000	-0.018943092	3463.3096	-4.397263e-05	-329.35675	0.9922988	7.376676e-05	430.87374782562256
49	-411.59787	60.57367	-267.96912	-665.58765	79.0	-144.21657	61.457947	12.5585785	-192.99927	500000	-0.026315637	3229.2283	-0.00027158577	-391.02277	0.96962875	-7.3871226e-05	439.1226165294647
50	-408.8932	60.543957	-257.12643	-596.7801	79.0	-148.31868	61.043194	6.467124	-195.47235	510000	-0.025256362	3017.477	-0.00034594524	-331.96698	0.9818362	0.0002672521	447.7739188671112
51	-407.6908	65.38647	-219.3829	-611.06287	79.0	-147.35829	62.116386	6.04543	-197.87854	520000	-0.014934604	3085.621	-0.0003136141	-361.60382	0.9727942	0.00017482231	456.150661945343
52	-410.8802	67.31282	-213.2372	-576.83	79.0	-147.04683	64.00764	3.588577	-200.25986	530000	-0.0076068556	3140.0645	-0.00015631877	-373.38123	0.94886607	-4.3626038e-05	465.0984559059143
53	-400.4327	66.21512	-207.33694	-583.19293	79.0	-149.0707	64.1575	3.573471	-202.67476	540000	-0.012173029	2698.5417	-0.00025767414	-372.3891	0.9487058	-8.4919724e-05	473.1171045303345
54	-407.29874	65.37351	-231.09286	-571.0038	79.0	-148.2028	65.69565	5.851215	-204.83817	550000	-0.02772847	2818.3984	-0.00053211884	-384.8355	0.9565473	0.00018128027	481.3664622306824
55	-409.21124	72.08678	-194.74295	-611.2974	79.0	-151.45413	66.622925	3.7064242	-207.06534	560000	-0.026083453	2963.0664	-0.0005133385	-362.20825	0.934193	0.00025256	489.3776710033417
56	-393.8376	55.0621	-259.48697	-567.51636	79.0	-151.38382	67.223976	5.4153833	-209.31116	570000	-0.017327134	2046.7522	-0.0006612721	-295.57437	0.9373391	0.00039300582	497.64789295196533
57	-397.654	66.55254	-237.13249	-559.93085	79.0	-147.3818	68.63129	8.197129	-211.20099	580000	-0.0032700896	2444.8762	-0.0004009325	-404.4248	0.91499937	0.000116640775	505.7389168739319
58	-394.7268	61.990597	-267.6422	-617.6197	79.0	-151.06238	68.92324	13.361814	-213.09425	590000	-0.012780404	2217.519	-0.0007034658	-359.00577	0.9009714	0.00028790906	513.8816223144531
59	-401.43332	69.71527	-226.02968	-623.8761	79.0	-149.50647	69.67978	2.31615	-214.91992	600000	0.004791297	2442.3425	-0.0008627331	-342.97083	0.90227205	0.00070485007	522.579710483551
