Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-561.5491	64.75602	-411.55548	-705.5738	79.0	0.013125893	0.499147	1.7962116	-1.4327971	10000	0.062442888	68376.05	-0.0019941037	-6447.5186	1.0347986	0.0007588861	10.236613988876343
1	-563.0068	56.87104	-394.72617	-698.6055	79.0	-14.217883	0.31271702	-9.365723	-14.365968	20000	0.06532551	60940.914	-0.002127652	-2436.838	1.0725026	0.0012657421	18.526666402816772
2	-547.6502	60.75416	-388.12653	-682.3272	79.0	-20.015732	0.14429806	-17.262964	-20.07331	30000	0.04733725	56591.086	-0.0020641175	-2153.7275	1.1006957	0.0003712381	27.2968430519104
3	-544.44244	65.8615	-406.0597	-684.65875	79.0	-25.32825	0.14144178	-21.72752	-25.369307	40000	0.053238787	53412.004	-0.0014470387	-2018.2803	1.1114066	0.0009032716	35.886539697647095
4	-537.31024	64.78706	-348.14398	-665.30566	79.0	-30.462831	0.11453582	-28.172474	-30.496347	50000	0.036639456	49619.906	-0.0015187177	-1848.6211	1.1284201	0.00035374207	44.487436294555664
5	-543.3512	62.92221	-335.46793	-658.1224	79.0	-35.369106	0.39518258	-25.690544	-35.434113	60000	0.0370092	48865.54	-0.0017034169	-1814.7529	1.1434823	0.000644193	53.290701389312744
6	-531.21814	65.01241	-339.21884	-692.1335	79.0	-40.10496	1.5156283	-18.492424	-40.34464	70000	0.021222612	44813.26	-0.0011368785	-1700.4297	1.1432474	0.001793456	61.73827624320984
7	-526.0545	59.885983	-348.77316	-660.6121	79.0	-44.18492	3.732245	-9.827337	-45.12365	80000	0.030463513	41646.5	-0.0017749816	-1597.7324	1.1733474	0.00061984814	71.37555408477783
8	-523.1829	55.85182	-367.27673	-647.56177	79.0	-47.80479	7.315578	-1.0047983	-49.78729	90000	0.0044034366	39838.24	-0.0007132115	-1534.0361	1.1718752	0.0014146429	80.36210250854492
9	-509.16165	65.30889	-360.3314	-677.5732	79.0	-51.6812	9.331016	6.604228	-54.414505	100000	0.005031216	36169.676	-0.0020837204	-1382.1348	1.1657946	0.00094796653	89.71685194969177
10	-518.74384	60.133728	-381.74533	-663.66876	79.0	-55.5592	10.578364	6.2334113	-58.855206	110000	0.0017767446	36724.285	-0.0018891469	-1437.7246	1.179924	0.000489236	98.30693483352661
11	-504.3982	58.91932	-356.48544	-629.6297	79.0	-60.03597	11.045613	5.3910365	-63.40706	120000	0.010040544	32498.934	-0.0009843728	-1276.2095	1.1977315	0.00061715225	106.84593105316162
12	-502.24872	63.229546	-345.59088	-634.1758	79.0	-63.57604	13.053387	5.693246	-67.7585	130000	0.0043924768	31095.424	-0.0008806075	-1219.771	1.2059615	0.00058185356	115.48351979255676
13	-502.95847	54.783424	-374.54678	-643.57056	79.0	-67.06048	14.2855835	4.714585	-72.03805	140000	-0.003263969	29408.004	-0.0019052317	-1177.0996	1.2106421	-0.00016162632	123.7878303527832
14	-497.2939	62.82816	-336.34122	-700.18195	79.0	-71.131226	14.843676	2.338265	-76.28115	150000	-0.0006529372	28370.629	-0.001190528	-1125.4824	1.2032002	0.0009969898	132.344340801239
15	-490.0638	53.98798	-370.06924	-652.4753	79.0	-74.260124	16.87429	7.812755	-80.47415	160000	-0.008804534	25527.625	-0.0011533948	-1037.8687	1.1972896	0.00069916394	140.57772278785706
16	-484.3097	52.74162	-334.2891	-645.41534	79.0	-77.51901	18.34235	7.222252	-84.541855	170000	-0.0052796537	24283.143	-0.0006374556	-1006.6362	1.2036813	0.00034101566	149.61825346946716
17	-481.25253	61.093662	-285.15457	-634.24475	79.0	-81.123314	19.261744	17.107824	-88.58165	180000	-0.005469113	23609.748	-0.0010870548	-987.63135	1.2031255	0.00022443506	158.52793979644775
18	-468.19205	55.779263	-320.06216	-618.2981	79.0	-84.5615	20.385098	7.4174366	-92.62038	190000	0.008413759	20079.955	-0.00042725005	-854.83496	1.2019377	0.00065499055	167.00757575035095
19	-471.54074	60.86776	-326.38245	-630.00323	79.0	-86.88401	22.397785	11.476002	-96.410095	200000	-0.0011398271	19816.926	-0.0013582045	-829.4917	1.1837891	0.00020036015	175.5308117866516
