Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-479.85236	63.33277	-325.9778	-628.28723	79.0	-0.08668634	0.57795256	1.2875326	-1.3053356	10000	-1.1983018e-07	48388.45	-0.006055678	-5468.4985	1.273637	0.019778525	0.3590436	4.0	4.632611989974976
1	-451.23236	63.643257	-296.08347	-620.6572	79.0	-14.544876	0.40384343	-8.903854	-14.713625	20000	1.3659398e-08	38008.48	-0.018442178	-1870.683	1.2637067	0.00919675	0.1552621	79.0	10.51488471031189
2	-449.3458	67.92453	-292.05975	-617.8133	79.0	-20.27996	0.18511187	-16.516756	-20.341177	30000	-1.2417635e-09	36381.0	-0.019292576	-1684.5557	1.2492881	0.010567014	0.12585033	79.0	16.124115228652954
3	-454.3436	70.5128	-302.03912	-610.2804	79.0	-25.555183	0.26858908	-20.263912	-25.612263	40000	-5.029142e-08	34467.613	-0.020601666	-1572.2875	1.2419602	0.00747682	0.14285715	79.0	21.177650690078735
4	-431.54797	75.124985	-267.60236	-611.62256	79.0	-30.450762	1.1817358	-15.107647	-30.70802	50000	-3.228585e-08	30797.36	-0.021007216	-1430.309	1.1936862	0.010538901	0.13285314	79.0	25.960543632507324
5	-420.55295	59.165802	-312.93344	-602.8876	79.0	-34.64357	3.7980194	-3.1243682	-35.59309	60000	2.2227566e-07	26488.703	-0.021934597	-1235.8688	1.1798748	0.010172885	0.15306123	79.0	30.42128896713257
6	-404.20816	65.420586	-190.89789	-544.6657	79.0	-38.79918	5.570218	6.1496115	-40.2004	70000	2.2351742e-08	23394.553	-0.023201166	-1099.2465	1.1619502	0.012552284	0.1547619	79.0	35.215941190719604
7	-399.23697	59.28439	-258.68472	-561.30865	79.0	-42.586742	7.28305	11.550168	-44.6029	80000	1.9247334e-07	21329.912	-0.023689454	-1014.77637	1.1179742	0.011193994	0.17627053	79.0	39.82541298866272
8	-391.64618	62.067913	-217.64937	-538.34	79.0	-46.741047	7.7556343	9.16749	-48.89141	90000	-6.7055225e-08	19528.021	-0.021655282	-930.0208	1.0675904	0.0109908255	0.14996	79.0	43.92176008224487
9	-370.2976	58.550934	-206.9635	-566.4962	79.0	-50.292137	9.198956	10.996582	-53.056812	100000	-1.2417634e-08	16336.952	-0.022942325	-799.6382	1.0430846	0.008133552	0.12675071	79.0	48.36312675476074
10	-364.8787	64.88513	-195.63852	-524.2924	79.0	-54.005596	9.653516	9.268604	-56.986565	110000	-5.370627e-08	15159.388	-0.021845037	-756.70636	1.0204111	0.0067516784	0.118747495	79.0	54.09451651573181
11	-365.22552	72.94481	-228.46793	-560.4519	79.0	-57.120365	11.501177	15.707797	-60.856045	120000	7.450581e-09	14703.601	-0.023669394	-721.32404	0.9778407	0.007790871	0.12334934	79.0	58.62242937088013
12	-344.44693	60.81457	-157.48372	-493.05414	79.0	-60.439594	12.15783	16.898125	-64.68083	130000	-2.483527e-09	11642.513	-0.02060019	-600.2327	0.91374713	0.0050620814	0.09583833	79.0	62.928444385528564
13	-335.19565	55.997166	-191.95183	-482.29218	79.0	-63.214386	13.921626	27.906853	-68.2355	140000	1.7384687e-08	10253.242	-0.02155676	-540.3216	0.8888847	0.005684352	0.10714286	79.0	68.34451627731323
14	-335.2797	57.236145	-208.80452	-470.7443	79.0	-66.335106	14.136886	5.3011665	-71.65176	150000	-7.698933e-08	9596.331	-0.01944724	-511.9431	0.8454542	0.0069017033	0.120848335	79.0	73.48104429244995
15	-324.49954	63.934673	-164.17151	-485.98264	79.0	-69.13888	15.437149	23.037043	-75.02182	160000	7.6678894e-08	8764.187	-0.02005037	-461.33066	0.808801	0.0061520417	0.104441784	79.0	78.18064165115356
16	-318.636	58.056164	-183.84935	-465.71002	79.0	-71.42703	16.857504	14.187519	-78.269	170000	-3.7252903e-08	7500.6797	-0.021651968	-399.32993	0.76311	0.01101001	0.121548615	79.0	82.54462003707886
17	-301.2428	58.574287	-164.6352	-475.76892	79.0	-73.48544	18.517946	19.613201	-81.347084	180000	-2.2972623e-08	6058.1	-0.015239465	-335.51685	0.730773	0.016103651	0.09693877	29.0	85.91929912567139
18	-305.30896	61.745296	-166.31609	-447.58643	79.0	-75.96975	18.70343	21.068148	-84.16142	190000	-6.7055225e-08	6037.457	-0.020856788	-324.9703	0.76654035	0.004799744	0.10354141	79.0	90.8787248134613
19	-310.43472	62.234303	-184.16647	-476.26434	79.0	-79.029816	18.647377	12.144609	-86.99806	200000	-7.4505806e-08	5845.6367	-0.020313708	-330.49136	0.73397034	0.007038027	0.093937576	79.0	96.2230875492096
20	-287.21432	64.19041	-166.53316	-449.16614	79.0	-81.00409	20.145134	10.054554	-89.91804	210000	3.0733645e-08	4507.5137	-0.019052884	-255.5573	0.68576145	0.0071227066	0.084133655	79.0	100.6445517539978
21	-303.08438	65.81175	-161.57439	-464.81406	79.0	-82.299385	21.366325	13.865803	-92.425575	220000	-9.934108e-09	5079.1235	-0.020699518	-291.681	0.7031086	0.009701469	0.102440976	79.0	105.70056247711182
22	-281.8546	64.974144	-152.5657	-444.4356	79.0	-83.97358	22.951523	10.064461	-95.222466	230000	1.2417634e-08	3848.7656	-0.019800657	-211.2273	0.64242715	0.0063140034	0.09263706	79.0	110.38447308540344
23	-283.17517	63.78577	-151.00783	-432.02258	79.0	-85.5604	23.598055	15.559837	-97.62447	240000	1.1424223e-07	3625.7297	-0.018834675	-208.84045	0.613347	0.0096600335	0.093337335	79.0	114.59691715240479
