Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	-452.55215	80.94736	-244.35208	-636.69165	79.0	-115.24125	36.801865	20.452274	-134.84882	310000	-0.0655362	11039.516	-0.0013763297	-565.0823	1.1566863	0.000889829	260.13141107559204
31	-469.11847	88.92409	-280.25034	-685.99786	79.0	-115.87543	39.27734	13.961989	-138.15602	320000	-0.057623293	11872.949	-0.0008280128	-616.1443	1.1305437	0.0008358429	268.22158312797546
32	-441.88596	92.16682	-133.67934	-637.3449	79.0	-118.74435	39.784405	22.842415	-141.60063	330000	-0.04204715	9820.648	-0.0008724779	-519.47095	1.1194468	0.0011397859	276.3316514492035
33	-454.44122	81.86681	-198.17694	-691.68604	79.0	-120.40754	41.60729	26.80574	-144.74228	340000	-0.057978805	9768.8125	-0.00047861488	-519.1599	1.0761349	0.00081014255	284.37215518951416
34	-455.46332	85.23106	-227.24733	-682.5449	79.0	-122.88816	42.579693	10.678897	-147.93983	350000	-0.07208108	10111.094	-0.00094981864	-533.0155	1.0530028	0.00025241176	292.4703052043915
35	-448.5739	77.71096	-252.24658	-611.7725	79.0	-124.88248	43.405994	15.43077	-151.252	360000	-0.06414582	8813.121	-0.0007990531	-552.08276	1.0391774	0.000521674	300.475248336792
36	-451.0408	86.958466	-247.1534	-677.75397	79.0	-127.41385	44.852207	22.198954	-154.46996	370000	-0.056127608	8913.66	-0.00024127308	-511.36133	1.0025461	0.0007026618	308.5318536758423
37	-450.4261	83.006584	-249.305	-724.4296	79.0	-129.75293	45.15907	16.430077	-157.62505	380000	-0.06481841	8146.33	-0.00054845866	-491.71912	0.97930807	0.000582004	317.0623276233673
38	-441.82755	89.384895	-199.42723	-697.7398	79.0	-130.55984	47.86919	10.280721	-160.71225	390000	-0.051704857	7785.3335	-0.00023994315	-485.85803	0.96114504	0.0006014047	325.8202245235443
39	-436.48322	88.54467	-203.23108	-670.8267	79.0	-131.77147	48.917763	10.927518	-163.69109	400000	-0.048260223	7073.419	-0.000103301136	-513.19275	0.94286335	0.00033243845	333.8841292858124
40	-446.27734	87.88666	-251.38434	-663.2092	79.0	-132.3884	50.3478	10.978438	-166.45613	410000	-0.07404889	8170.323	-0.0003271466	-533.8817	0.8939582	-0.00014567043	342.3133294582367
41	-440.58176	95.828285	-149.88171	-700.2548	79.0	-134.60698	51.78898	9.632465	-169.54211	420000	-0.08048117	7148.89	-0.00025732443	-544.135	0.8750942	-7.0652546e-05	350.3462760448456
42	-435.57193	104.39166	-229.0102	-688.08844	79.0	-136.54517	52.52418	18.834158	-172.39626	430000	-0.039254818	7166.5566	6.830681e-05	-519.1084	0.8732188	0.00015716428	358.45234417915344
43	-444.16254	103.93205	-181.00278	-722.5576	79.0	-136.49843	55.403717	8.387806	-175.28638	440000	-0.052519888	7304.16	-0.0002792863	-566.7478	0.8439515	7.381609e-05	366.5117976665497
44	-440.29898	97.1922	-185.63554	-692.46735	79.0	-137.17488	55.58305	7.0461082	-178.12526	450000	-0.061164424	6493.7896	-0.00019352348	-595.3894	0.83331853	0.00019898076	374.59856271743774
45	-431.02292	100.83798	-231.526	-710.3397	79.0	-140.4264	54.975903	7.6611605	-180.80382	460000	-0.062625244	5873.433	-0.00018221629	-457.89514	0.7937416	-0.0001063412	383.8187129497528
46	-435.3229	102.07101	-233.09808	-729.59827	79.0	-139.49094	56.108963	8.614569	-183.30806	470000	-0.08192398	6251.9546	-0.000105293	-495.69812	0.798469	5.8583806e-05	393.6850266456604
47	-443.20847	110.27153	-142.59169	-762.5551	79.0	-144.69557	56.32763	8.190063	-185.98045	480000	-0.08982174	6646.8877	-0.00041725097	-478.03552	0.78549206	0.00015176757	403.42875480651855
48	-441.50443	101.47836	-182.82457	-698.4501	79.0	-145.07977	58.715614	11.346746	-188.78958	490000	-0.06523697	6127.7363	-1.1931639e-05	-479.6493	0.7528452	0.00011112583	413.34143900871277
49	-429.96756	95.59543	-211.86697	-630.7789	79.0	-146.90971	59.37732	7.298314	-191.55013	500000	-0.09479378	5179.0303	-0.0005148109	-546.3262	0.78201157	0.00042981506	423.03915095329285
50	-435.41104	102.411476	-128.8511	-728.5063	79.0	-144.2047	62.031452	6.3730774	-194.02089	510000	-0.07701263	5413.8535	-0.0003013471	-650.7087	0.7039508	-4.9652575e-05	431.7733540534973
51	-439.58203	100.23349	-239.62831	-717.0318	79.0	-145.67267	63.04092	0.14514565	-196.36598	520000	-0.084060594	5593.342	-0.0002894448	-623.85364	0.6983473	-0.00017343895	440.69175577163696
52	-439.55267	102.76774	-165.7594	-680.2231	79.0	-149.37607	63.1962	5.7071	-198.92053	530000	-0.070409834	5759.023	-0.00016872492	-593.06323	0.6796653	-4.7526373e-05	449.0616817474365
53	-439.4763	89.08918	-152.24281	-692.99756	79.0	-148.56023	64.33165	9.7240505	-201.5419	540000	-0.099126235	4613.68	-0.00017114636	-434.9818	0.7041849	0.00022063986	457.0084252357483
54	-433.70502	94.795166	-163.04297	-652.16235	79.0	-151.29457	64.69499	19.37927	-204.01993	550000	-0.060428567	4738.9688	-2.838485e-05	-549.2122	0.7085278	2.7412341e-05	465.00910329818726
55	-451.95224	112.41088	-190.44519	-866.15076	79.0	-152.89265	66.50408	6.3925815	-206.40344	560000	-0.06275094	5865.25	-9.579724e-05	-696.5852	0.6682415	0.00014072032	473.17669224739075
56	-427.33948	109.33306	-177.23567	-679.8902	79.0	-156.22273	66.87593	13.074645	-209.1817	570000	-0.07619052	4712.0596	-0.00016098702	-507.06793	0.6627059	5.784869e-05	481.60816717147827
57	-448.78534	96.64045	-239.2721	-692.7774	79.0	-156.81973	66.034706	7.1845503	-211.47252	580000	-0.07123166	5040.509	-0.00019370718	-625.72986	0.65952957	-4.327345e-05	489.7650988101959
58	-434.17612	97.41564	-227.25601	-646.2794	79.0	-156.75467	68.80181	6.2515755	-214.10332	590000	-0.05868459	4297.0293	-0.00016578194	-546.53723	0.6759425	0.00014808349	498.29241037368774
59	-430.3899	99.70512	-183.45833	-706.5553	79.0	-155.312	70.144806	5.6046333	-216.34618	600000	-0.055566505	4223.6	-0.00011964908	-564.684	0.6432265	4.511948e-05	506.71577978134155
60	-442.4871	99.32779	-146.18546	-681.6567	79.0	-155.18723	70.993675	20.844086	-218.44885	610000	-0.0701037	4637.1636	-0.00015964592	-622.47675	0.660387	6.7931487e-06	515.3317487239838
61	-434.9393	106.45979	-185.80167	-679.9421	79.0	-158.21413	70.73914	15.09098	-220.8113	620000	-0.06468529	4571.6475	-0.00015998585	-634.92834	0.64787674	6.535277e-05	523.4628322124481
62	-438.48706	107.41905	-227.54147	-775.21936	79.0	-158.86247	71.049484	6.683742	-223.05408	630000	-0.0146730635	4490.469	-7.509487e-05	-538.0121	0.6520759	2.4592671e-05	531.4399409294128
63	-430.84247	114.29887	-114.71216	-696.5446	79.0	-160.22545	73.043015	6.787356	-225.29239	640000	-0.055887192	4566.342	-0.00017893361	-589.2194	0.6493484	-1.2542911e-05	539.4688227176666
64	-443.05304	96.05078	-240.53816	-700.47394	79.0	-159.98904	72.49089	13.942063	-227.33873	650000	-0.062025025	4097.5425	-7.584132e-05	-689.16296	0.6550425	1.8648814e-05	547.4437575340271
65	-421.28925	96.02197	-202.41779	-687.16547	79.0	-161.33665	73.981125	14.665537	-229.57109	660000	-0.05353954	3481.9907	-9.3743205e-05	-531.38116	0.640894	-2.3518736e-05	555.7221076488495
66	-431.34796	106.91443	-210.4603	-721.7492	79.0	-160.44255	73.56277	8.047722	-231.15884	670000	-0.048589103	3992.3086	-7.820735e-05	-554.08514	0.6238689	3.2520933e-05	563.9939963817596
67	-426.19394	95.57185	-190.88217	-735.63855	79.0	-163.55852	73.49607	10.9966	-232.97276	680000	-0.07617183	3439.6667	-8.814223e-05	-450.03778	0.6470332	-7.782168e-06	571.9961404800415
68	-443.89832	99.91787	-237.28969	-705.74695	79.0	-164.5848	73.09478	21.081861	-234.82596	690000	-0.08896385	3870.0273	-0.00014241226	-577.2843	0.658586	7.0394955e-05	579.9087426662445
69	-429.6926	93.614174	-154.83755	-660.4694	79.0	-165.172	75.15599	11.207872	-236.95541	700000	-0.056859437	3478.4426	-0.00013922271	-502.9369	0.62561125	-4.3462547e-05	588.9006206989288
70	-429.55948	106.1917	-184.5955	-717.32245	79.0	-164.30896	75.72086	9.024153	-238.77472	710000	-0.04764314	3898.6782	-0.00016265223	-582.4401	0.6487425	2.5072331e-06	596.9271993637085
