Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-494.06815	65.09097	-336.88864	-661.2935	79.0	1.1588471	0.5930939	2.428985	-0.99542516	10000	0.038648523	53412.58	-0.001652147	-6303.5166	1.1108327	0.0012425939	9.676017999649048
1	-488.46936	76.31244	-301.15775	-729.4967	79.0	-14.840174	0.23006482	-7.8673854	-14.952205	20000	0.03304606	45902.0	-0.0017989464	-2060.3057	1.094219	0.0022054259	18.43286919593811
2	-489.1668	81.41961	-257.56558	-647.0482	79.0	-20.590452	0.13090661	-17.69428	-20.63984	30000	0.01741264	44498.27	-0.0015570852	-1889.6406	1.0921605	0.0021072691	26.521676063537598
3	-483.78232	73.24926	-311.4891	-657.09235	79.0	-25.960846	0.15927893	-17.805706	-25.996267	40000	0.02314405	40848.125	-0.00033664712	-1701.1592	1.0949533	0.0006120532	34.68526911735535
4	-476.97086	78.450424	-293.48456	-697.24927	79.0	-30.846035	1.0449353	-10.942212	-31.082897	50000	0.011509903	37553.727	-0.0010757567	-1568.9023	1.0785855	0.00072764896	42.82100749015808
5	-475.11057	79.712776	-299.47958	-717.2583	79.0	-34.671593	4.9626203	11.044787	-35.981304	60000	-0.00019762851	36540.14	-0.0010170131	-1546.0449	1.0632896	0.0009057284	52.29940748214722
6	-473.42722	89.6985	-271.50488	-687.50244	79.0	-39.365856	6.0376315	23.002546	-40.88559	70000	0.02278904	34845.95	-0.00070530945	-1468.4893	1.077467	0.0004429454	60.70812749862671
7	-464.3085	82.43329	-243.76855	-635.0645	79.0	-43.640923	7.552444	18.596987	-45.70444	80000	0.008864203	31953.012	-0.00039636716	-1341.0312	1.0931556	0.0004089105	69.56270599365234
8	-467.02496	90.76034	-240.51057	-743.2784	79.0	-47.81528	8.633872	11.765961	-50.351307	90000	-0.012387415	30765.969	-0.0012777688	-1293.3877	1.0509807	0.0009998882	78.2492024898529
9	-457.56458	82.323074	-231.47392	-652.4165	79.0	-51.94926	10.176178	6.66867	-54.943584	100000	-0.010563244	28204.7	-0.0013051275	-1187.5474	1.0534394	0.000981794	86.6039981842041
10	-464.20218	87.07853	-275.1746	-689.6423	79.0	-55.967636	11.206162	14.251261	-59.399796	110000	-0.020776924	27619.72	-0.0010019103	-1170.123	1.0434599	0.0002494379	94.63580107688904
11	-466.837	84.73358	-289.68167	-698.58844	79.0	-59.775043	12.522482	4.656414	-63.848064	120000	-0.012967719	26773.346	-0.0010072156	-1156.7148	1.0458918	0.0010922189	102.81389713287354
12	-450.1497	86.5059	-230.83226	-722.7282	79.0	-63.49451	14.1447935	10.6502695	-68.294624	130000	-0.02397909	23481.562	-0.0006283056	-996.17334	1.0304615	0.00041408013	111.49661254882812
13	-470.54544	84.48349	-258.34033	-702.2582	79.0	-66.25458	16.372307	15.723956	-72.47909	140000	-0.015052813	24636.314	-0.00019005453	-1057.1895	1.0053455	0.00011827114	119.57788109779358
