Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-566.6405	69.34981	-323.88486	-721.8156	79.0	0.09629382	0.5336172	1.9043459	-1.3797747	10000	8.692344e-09	68353.34	-0.0056451834	-6452.1	1.0494477	0.02201719	0.39195678	3.0	4.297897577285767
1	-547.17786	53.73908	-386.04193	-670.2413	79.0	-14.221511	0.3095763	-10.6429825	-14.369469	20000	5.8673322e-08	57602.48	-0.018201036	-2338.362	1.1299651	0.014663845	0.19557822	79.0	9.344268083572388
2	-525.1661	67.414604	-373.6735	-676.40125	79.0	-19.955767	0.16503294	-17.046425	-20.020767	30000	1.3286869e-07	51680.66	-0.017082969	-2013.8893	1.1448083	0.0152242705	0.1492597	59.0	13.310623168945312
3	-507.1525	54.531853	-372.68106	-655.6919	79.0	-25.17361	0.1656488	-21.456594	-25.217148	40000	-5.9604645e-08	46345.49	-0.018574877	-1807.459	1.1722554	0.009896771	0.15006001	79.0	18.40279483795166
4	-498.544	59.057022	-337.5679	-624.807	79.0	-30.130264	0.17235237	-26.496881	-30.168726	50000	4.718701e-08	43285.49	-0.022208042	-1682.1224	1.1430502	0.012881078	0.18697478	79.0	22.606330156326294
5	-474.63437	62.239857	-300.9692	-632.82574	79.0	-34.947956	0.15457581	-31.209972	-34.986576	60000	3.7252903e-08	37216.84	-0.0062839836	-1474.0365	1.1583226	0.013497792	0.1537615	7.0	26.484575033187866
6	-471.3712	59.97637	-336.7817	-658.9437	79.0	-39.3858	0.77134144	-28.329443	-39.556103	70000	-7.947286e-08	35123.81	-0.01889498	-1419.8727	1.182505	0.015634337	0.12464986	63.0	30.235108137130737
7	-444.65738	66.314995	-212.05905	-589.3618	79.0	-42.877697	4.483577	-4.6515007	-44.05226	80000	-6.45717e-08	29817.844	-0.020301115	-1227.8363	1.1898059	0.008826851	0.14045618	79.0	35.04468631744385
8	-427.05713	52.712162	-272.8695	-561.96985	79.0	-46.242935	7.419674	1.3932774	-48.324467	90000	-1.0803342e-07	25375.963	-0.020978695	-1065.1768	1.1368086	0.01280133	0.14235695	79.0	39.78552985191345
9	-425.90234	62.34873	-243.50243	-590.4714	79.0	-49.823086	8.738023	6.2990236	-52.375713	100000	1.1796753e-08	24334.22	-0.020155327	-1023.21515	1.1170126	0.008363004	0.13855542	79.0	44.568671464920044
10	-408.66473	55.16899	-244.62753	-547.74506	79.0	-53.345543	10.017974	4.781772	-56.397938	110000	6.581346e-08	21471.537	-0.018868376	-924.36945	1.0717913	0.0110526895	0.12855142	79.0	49.99473977088928
11	-402.2047	55.80241	-256.83813	-558.44116	79.0	-56.64352	11.070834	8.889105	-60.28613	120000	8.6302556e-08	19489.496	-0.021269493	-861.404	1.0298095	0.010466379	0.1282513	79.0	53.929709672927856
12	-392.48703	57.116722	-237.60487	-551.62634	79.0	-60.022747	12.29219	27.648058	-64.08683	130000	-1.3007472e-07	17465.693	-0.02089747	-779.48846	1.0333507	0.011913657	0.13405363	79.0	58.79248023033142
13	-387.54224	60.423492	-252.36293	-536.842	79.0	-63.066387	13.44878	22.761293	-67.76272	140000	2.7318796e-08	16339.751	-0.019606438	-750.3742	0.9858312	0.008045664	0.09603842	79.0	64.83930444717407
14	-383.61505	56.74466	-244.45653	-548.9525	79.0	-66.06312	14.863746	25.136948	-71.401665	150000	-2.9802322e-08	14952.18	-0.022710806	-683.326	0.9807687	0.0119494	0.14135654	79.0	70.25917053222656
15	-366.87112	66.36012	-196.12729	-596.7683	79.0	-68.99497	15.699302	16.743818	-74.94148	160000	-7.698933e-08	12971.19	-0.022846282	-593.48126	0.9675643	0.010152996	0.1287515	79.0	76.5794529914856
16	-373.43332	65.37339	-224.61752	-625.2249	79.0	-71.45028	17.095724	25.65849	-78.27506	170000	5.0912302e-08	12890.043	-0.023074457	-613.24335	0.9338443	0.009480472	0.12845139	79.0	80.68891286849976
17	-364.8889	56.12536	-187.07982	-558.9513	79.0	-74.556244	17.962416	16.759134	-81.69342	180000	-7.4505806e-08	11512.547	-0.020666668	-580.47833	0.90027875	0.007821024	0.11234494	79.0	85.95313811302185
18	-370.107	61.726013	-247.4655	-546.7533	79.0	-77.58348	18.592653	22.382566	-85.05674	190000	4.5945246e-08	11481.242	-0.023706848	-560.12744	0.8823757	0.012382497	0.12535013	79.0	90.47412776947021
19	-345.27817	58.345833	-197.45152	-512.1342	79.0	-80.05226	20.048523	12.815069	-88.420845	200000	-5.7121117e-08	8722.491	-0.02246995	-439.07242	0.84747577	0.010397763	0.11204482	79.0	95.15680456161499
20	-351.31866	60.091	-193.10474	-581.3725	79.0	-82.54703	20.517345	11.941574	-91.44847	210000	-3.7252903e-08	8860.911	-0.022008782	-458.80264	0.83442134	0.010460536	0.118447386	79.0	99.91319060325623
21	-349.95386	59.992363	-203.14911	-505.15005	79.0	-85.2763	21.648294	36.19876	-94.551956	220000	-4.718701e-08	8526.899	-0.020999841	-451.69516	0.82737106	0.011261363	0.10354141	79.0	104.57183480262756
22	-335.55325	64.23663	-189.3509	-526.23016	79.0	-87.48966	23.448824	18.185411	-97.70151	230000	1.7384687e-08	7185.858	-0.022283718	-386.33057	0.7865165	0.009090055	0.10714286	79.0	109.97871470451355
23	-336.20294	64.755806	-185.16678	-497.49402	79.0	-88.771965	24.900286	17.37365	-100.56355	240000	1.800557e-08	6723.6562	-0.02211532	-366.01083	0.75508565	0.011490813	0.10404161	79.0	113.82291984558105
24	-326.9951	61.78538	-200.78091	-496.97864	79.0	-91.12177	25.940357	20.765318	-103.379395	250000	5.7121117e-08	5685.8335	-0.021513926	-299.87534	0.75668883	0.010829321	0.11554623	79.0	119.49132442474365
25	-324.45837	58.476467	-161.11667	-492.59305	79.0	-92.92004	26.504097	25.765295	-106.00542	260000	-4.4703484e-08	5223.641	-0.021711608	-300.19873	0.7408185	0.01004709	0.12174871	79.0	123.79766941070557
26	-328.95813	62.314133	-198.75534	-490.3785	79.0	-95.49025	27.18314	21.810043	-108.61919	270000	6.208817e-08	5347.6553	-0.022918075	-315.81592	0.7128835	0.013664021	0.11344538	79.0	128.40311408042908
27	-320.1389	63.971107	-150.58379	-485.0773	79.0	-97.046104	28.261393	24.326086	-111.28493	280000	5.525847e-08	4698.3394	-0.021405475	-277.8923	0.70901054	0.010787532	0.111044414	79.0	134.12581586837769
