Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-500.63345	72.69952	-285.0739	-696.3247	79.0	1.0490237	0.64904755	2.394463	-0.9434799	10000	-8.009374e-08	54655.27	-0.016457899	-6355.0273	1.103344	0.0089393435	0.13865547	79.0	6.355097532272339
1	-464.3143	68.883224	-258.82556	-677.98755	79.0	-14.920339	0.2410516	-9.11262	-15.014984	20000	9.437402e-08	42261.348	-0.017693361	-1950.1478	1.1039295	0.011013183	0.13965587	79.0	10.510774850845337
2	-464.70026	75.81737	-289.60226	-643.4049	79.0	-20.53884	0.15962426	-14.208564	-20.582085	30000	-5.8362883e-08	39805.312	-0.020221176	-1718.7188	1.0650347	0.012820005	0.16846739	79.0	15.744766235351562
3	-456.77078	81.7955	-247.8316	-644.9871	79.0	-25.723433	0.21116966	-16.251905	-25.762125	40000	-4.4703484e-08	37084.387	-0.019126946	-1580.9994	1.0431997	0.00964905	0.14635853	79.0	21.21161198616028
4	-451.4921	75.70323	-266.39584	-635.58655	79.0	-30.582958	0.79778534	-10.824102	-30.75086	50000	-9.4839685e-08	34059.76	-0.018935742	-1475.5684	1.039675	0.012146901	0.14745899	79.0	26.303827047348022
5	-443.7815	81.943596	-222.93004	-642.85144	79.0	-34.313904	4.831615	6.446521	-35.588436	60000	1.800557e-07	32241.693	-0.017942049	-1390.2611	1.025691	0.0126706585	0.13885553	79.0	30.304139614105225
6	-418.90793	79.62099	-193.18916	-601.9911	79.0	-38.655697	6.2704697	14.28722	-40.346172	70000	1.4031927e-07	27527.193	-0.017653903	-1200.4108	1.0034708	0.011226881	0.110244095	79.0	34.34269046783447
7	-422.39413	83.77548	-246.21045	-712.3278	79.0	-42.47836	8.0290365	19.467178	-44.82975	80000	9.189049e-08	26625.611	-0.020227171	-1168.0596	0.96065694	0.0101650255	0.14095639	79.0	39.738497734069824
8	-410.72485	77.81117	-277.0234	-635.4681	79.0	-46.567352	9.039541	5.3005657	-49.290245	90000	1.2665987e-07	24089.576	-0.007185962	-1076.4379	0.9339678	0.01966113	0.12394958	9.0	43.221272230148315
9	-403.95273	77.447685	-221.82465	-621.1186	79.0	-50.452976	10.400046	29.083641	-53.632736	100000	1.0679165e-07	20995.814	-0.018567463	-931.5485	0.95288295	0.010983427	0.1277511	79.0	47.289936780929565
10	-383.94928	65.92699	-219.5248	-542.2027	79.0	-53.640987	11.969686	13.732629	-57.716705	110000	8.071462e-08	18055.494	-0.020144055	-832.6673	0.9442994	0.013943871	0.13435374	79.0	52.070624589920044
11	-383.74796	77.652374	-231.9069	-644.4747	79.0	-57.04301	13.30776	20.661373	-61.632645	120000	2.2351742e-08	16989.086	-0.01939763	-761.3506	0.93778056	0.012567818	0.1337535	79.0	56.52460956573486
12	-364.2514	75.59304	-192.40076	-590.146	79.0	-59.656033	14.957147	36.026333	-65.41864	130000	-3.3527613e-08	14384.481	-0.017659722	-648.0954	0.8911948	0.011616439	0.10644258	79.0	61.08667325973511
13	-363.84003	80.077614	-209.9272	-605.7816	79.0	-62.50006	16.024578	13.452827	-68.970535	140000	-3.8494665e-08	14014.755	-0.0198989	-644.38446	0.8663974	0.0128638195	0.12865146	79.0	66.14191031455994
14	-345.31705	68.4921	-165.35324	-576.34186	79.0	-66.174736	16.38425	13.723701	-72.529724	150000	-6.829699e-09	11164.402	-0.018662592	-541.8384	0.8424528	0.012014489	0.11294518	79.0	70.28018712997437
